http://www.google.cn/music/album?id=Bf965720cc2edebce |《Uncommon Ritual》|1343
极端乐队(Extreme) albums 5
http://www.google.cn/music/album?id=B7c4b0a628cd9f251 |《Extreme》|1354
http://www.google.cn/music/album?id=B8453f6901f0100ae |《III Sides To Every Story》|1366
http://www.google.cn/music/album?id=B5301f16a413e201b |《The Best Of Extreme (An Accidental Collication Of Atoms)》|1379
查特 阿特金斯(Chet Atkins) albums 8
http://www.google.cn/music/album?id=Bce731afb52dcad9a |《Sails》|1383
http://www.google.cn/music/album?id=B5b1da2cf2a37f42f |《Simpatico》|1393
http://www.google.cn/music/album?id=B0ec0224f4dbcafb8 |《The Early Years 1946-1949 CD A》|1423
http://www.google.cn/music/album?id=B255f53634a060264 |《The Early Years 1949-1952 CD B》|1455
http://www.google.cn/music/album?id=B975cd02a06f84f4a |《The Early Years, 1952-1954 CD C》|1487
http://www.google.cn/music/album?id=Baa33ceee1059ce50 |《The Early Years, 1954-1955: CD D》|1518
http://www.google.cn/music/album?id=B359f81a8b0c2c0c9 |《The Early Years, 1955-1956 CD E》|1550
http://www.google.cn/music/album?id=Bd3c27fa0931ccc9e |《The Essential Chet Atkins》|1568
ACDC乐队(AC/DC) albums 24
http://www.google.cn/music/album?id=Bfad22a97f80c3538 |《回归黑暗(Back In Black)》|1574
http://www.google.cn/music/album?id=Bc544b7befd1a998f |《地狱公路(Highway To Hell)》|1584
http://www.google.cn/music/album?id=B2cd86ee220d6f4c4 |《墙上的苍蝇(Fly On The Wall)》|1591
http://www.google.cn/music/album?id=B92b45e53a0675e25 |《扳动开关(Flick Of The Switch)》|1595
http://www.google.cn/music/album?id=B6952c9500c196200 |《摧毁你的电视(Blow Up Your Video)》|1605
http://www.google.cn/music/album?id=Bdf82aef0ddc2bb0a |《来点摇滚吧(Let There Be Rock)》|1611
http://www.google.cn/music/album?id=Bb5fc2270e0e3be1e |《麻木上唇(Stiff Upper Lip)》|1623
http://www.google.cn/music/album?id=B1ecfbae823827ccd |《AC/DC Live》|1637
#http://www.google.cn/music/album?id=B9046b1695a2f09db |《Backtracks CD1》
#http://www.google.cn/music/album?id=Bff9881420e54af0f |《Backtracks CD2》
http://www.google.cn/music/album?id=Bf70ec4d8699fc24f |《Black Ice》|1646
http://www.google.cn/music/album?id=Bab9f9a3c168179db |《For Those About To Rock We Salute You》|1649
http://www.google.cn/music/album?id=B4424eec31bb2a535 |《Gold Album 1974-2000》|1665
http://www.google.cn/music/album?id=B947fd72792a443ce |《Let There Be Rock - The Movie - Live In Paris》|1679
http://www.google.cn/music/album?id=Bd267cf5aea3e485a |《Live From The Atlantic Studios》|1687
http://www.google.cn/music/album?id=B7a4d5116fa23ef81 |《Powerage》|1692
http://www.google.cn/music/album?id=B909b31428d662d3b |《Stiff Upper Lip Tour Edition CD2》|1698
大门(The Doors) albums 48
http://www.google.cn/music/album?id=Bcad8b41e26aceb5d |《一个美国人的祈祷(An American Prayer)》|1729
http://www.google.cn/music/album?id=Bf9d966b13bf4e28b |《Alive, She Cried》|1736
http://www.google.cn/music/album?id=B330308d541e80d29 |《Boot Yer Butt》|1792
http://www.google.cn/music/album?id=Ba9efa434741beb3b |《In Concert》|1823
http://www.google.cn/music/album?id=B77ab6a8f8544efa6 |《LA Woman》|1833
http://www.google.cn/music/album?id=Bcaf758758b7a6db2 |《Morrison Hotel》|1844
http://www.google.cn/music/album?id=B2a392c95e440db07 |《No One Here Gets Out Alive》|1860
http://www.google.cn/music/album?id=B988ac6acc001c3db |《The Bright Midnight Sampler》|1873
http://www.google.cn/music/album?id=B2b93de57bf2ec3e8 |《The Doors》|1884
http://www.google.cn/music/album?id=B6602bba35e6a4c19 |《Waiting For The Sun》|1895
http://www.google.cn/music/album?id=Bc4beb1cdb38dff97 |《Westbury Music Fair》|1904
尼克 凯夫(Nick Cave) albums 12
http://www.google.cn/music/album?id=Be9c97471fa09db59 |《Abattoir Blues/The Lyre Of Orpheus》|1912
http://www.google.cn/music/album?id=Bd25031d590e2024a |《From Her To Eternity (2009 Digital Remaster)》|1919
http://www.google.cn/music/album?id=B7136c3efb95fd5cd |《Kicking Against The Pricks (2009 Digital Remaster)》|1931
http://www.google.cn/music/album?id=B6a5908420040aeaa |《Let Love In》|1941
http://www.google.cn/music/album?id=B56fdd0082a605330 |《No More Shall We Part》|1953
http://www.google.cn/music/album?id=B410fecbc229ff623 |《Nocturama》|1963
http://www.google.cn/music/album?id=B22119dcbb1b21681 |《The Firstborn Is Dead (2009 Digital Remaster)》|1970
http://www.google.cn/music/album?id=B0f925181dc0ecc42 |《Where The Wild Live Roses Grow》|1985
http://www.google.cn/music/album?id=B6f7a9a00288439cf |《Your Funeral... My Trial (2009 Digital Remaster)》|1993
http://www.google.cn/music/album?id=Be7a6e995d7990e45 |《The Boatman's Call》|2005
Jerry Reed albums 1
http://www.google.cn/music/album?id=Bd7cfe77a2b2edc01 |《RCA Country Legends: Jerry Reed》|2012
The Who albums 35
http://www.google.cn/music/album?id=Ba1f0f73a40189027 |《你是谁(Who Are You)》|2021
http://www.google.cn/music/album?id=Bd96ed51f2ba6add1 |《大块肉的摇摆和快乐(Meaty Beaty Big And Bouncy)》|2035
http://www.google.cn/music/album?id=Bb9b3e6817b730ed0 |《谁是下一个(Who's Next)》|2049
http://www.google.cn/music/album?id=B75dc933386e24a80 |《贴面舞(Face Dances)》|2060
http://www.google.cn/music/album?id=B61db99825d8dc60a |《A Quick One》|2080
